Taxon name,RelAbReads,PredictedRelAb,Mock_community,Tool,Level,ComType
Cladophialophora,1.2121212121212122,0.0507,complete_1,HMS,Genus,EqualReads
Clavispora,0.6060606060606061,0.0199,complete_1,HMS,Genus,EqualReads
Cokeromyces,0.6060606060606061,0.0247,complete_1,HMS,Genus,EqualReads
Cryptococcus,3.6363636363636367,0.0873,complete_1,HMS,Genus,EqualReads
Cyberlindnera,0.6060606060606061,0.0001,complete_1,HMS,Genus,EqualReads
Daldinia,0.6060606060606061,0.0024,complete_1,HMS,Genus,EqualReads
Debaryomyces,1.2121212121212122,0.031,complete_1,HMS,Genus,EqualReads
Diutina,0.6060606060606061,0.0253,complete_1,HMS,Genus,EqualReads
Fonsecaea,1.2121212121212122,0.0507,complete_1,HMS,Genus,EqualReads
Fusarium,0.6060606060606061,0.0206,complete_1,HMS,Genus,EqualReads
Histoplasma,0.6060606060606061,0.0006,complete_1,HMS,Genus,EqualReads
Kluyveromyces,1.2121212121212122,0.0254,complete_1,HMS,Genus,EqualReads
Lodderomyces,0.6060606060606061,0.0251,complete_1,HMS,Genus,EqualReads
Malassezia,3.6363636363636367,0.0813,complete_1,HMS,Genus,EqualReads
Meyerozyma,0.6060606060606061,0.0253,complete_1,HMS,Genus,EqualReads
Nakaseomyces,0.6060606060606061,0.027,complete_1,HMS,Genus,EqualReads
Naumovozyma,0.6060606060606061,0.0001,complete_1,HMS,Genus,EqualReads
Penicillium,1.2121212121212122,0.0483,complete_1,HMS,Genus,EqualReads
Pichia,1.2121212121212122,0.0256,complete_1,HMS,Genus,EqualReads
Pneumocystis,1.8181818181818183,0.0262,complete_1,HMS,Genus,EqualReads
Rhizopus,0.6060606060606061,0.0171,complete_1,HMS,Genus,EqualReads
Scedosporium,0.6060606060606061,0.0253,complete_1,HMS,Genus,EqualReads
Talaromyces,0.6060606060606061,0.0206,complete_1,HMS,Genus,EqualReads
Trichosporon,0.6060606060606061,0.0227,complete_1,HMS,Genus,EqualReads
Yarrowia,0.6060606060606061,0.0031,complete_1,HMS,Genus,EqualReads
Arthrodermataceae,3.0303030303030303,2.5852965079345767,complete_1,HMS,Family,EqualReads
Aspergillaceae,9.090909090909092,20.886674545221332,complete_1,HMS,Family,EqualReads
Cryptococcaceae,7.878787878787879,8.729517152079934,complete_1,HMS,Family,EqualReads
Debaryomycetaceae,15.757575757575758,22.503907590738997,complete_1,HMS,Family,EqualReads
Didymellaceae,1.2121212121212122,0.15662049549720827,complete_1,HMS,Family,EqualReads
Dipodascaceae,1.2121212121212122,0.3151548612558132,complete_1,HMS,Family,EqualReads
Herpotrichiellaceae,2.4242424242424243,10.415510105995459,complete_1,HMS,Family,EqualReads
Hypoxylaceae,0.6060606060606061,0.2403745000489241,complete_1,HMS,Family,EqualReads
Malasseziaceae,3.6363636363636367,8.133289529786158,complete_1,HMS,Family,EqualReads
Metschnikowiaceae,1.2121212121212122,2.0265224394317096,complete_1,HMS,Family,EqualReads
Microascaceae,0.6060606060606061,2.536752646337562,complete_1,HMS,Family,EqualReads
